Type,ROI,mean,std,max,min
Normalized,Background,162.9362531328321,0.0,162.9362531328321,162.9362531328321
Normalized,Frontal Pole,229.21633474728594,0.0,229.21633474728594,229.21633474728594
Normalized,Insular Cortex,184.0276721464927,0.0,184.0276721464927,184.0276721464927
Normalized,Superior Frontal Gyrus,183.33145610412365,0.0,183.33145610412365,183.33145610412365
Normalized,Middle Frontal Gyrus,266.8641144299537,0.0,266.8641144299537,266.8641144299537
Normalized,"Inferior Frontal Gyrus, pars triangularis",146.2823712948518,0.0,146.2823712948518,146.2823712948518
Normalized,"Inferior Frontal Gyrus, pars opercularis",210.42130283347453,0.0,210.42130283347453,210.42130283347453
Normalized,Precentral Gyrus,181.69672166091146,0.0,181.69672166091146,181.69672166091146
Normalized,Temporal Pole,247.79288321167883,0.0,247.79288321167883,247.79288321167883
Normalized,"Superior Temporal Gyrus, anterior division",311.3724103082365,0.0,311.3724103082365,311.3724103082365
Normalized,"Superior Temporal Gyrus, posterior division",170.0700203942896,0.0,170.0700203942896,170.0700203942896
Normalized,"Middle Temporal Gyrus, anterior division",242.15751211631664,0.0,242.15751211631664,242.15751211631664
Normalized,"Middle Temporal Gyrus, posterior division",199.94414414414413,0.0,199.94414414414413,199.94414414414413
Normalized,"Middle Temporal Gyrus, temporooccipital part",162.75645236977945,0.0,162.75645236977945,162.75645236977945
Normalized,"Inferior Temporal Gyrus, anterior division",136.79373313965553,0.0,136.79373313965553,136.79373313965553
Normalized,"Inferior Temporal Gyrus, posterior division",220.91052859618716,0.0,220.91052859618716,220.91052859618716
Normalized,"Inferior Temporal Gyrus, temporooccipital part",228.70939716312057,0.0,228.70939716312057,228.70939716312057
Normalized,Postcentral Gyrus,255.87599456627208,0.0,255.87599456627208,255.87599456627208
Normalized,Superior Parietal Lobule,301.5607301661596,0.0,301.5607301661596,301.5607301661596
Normalized,"Supramarginal Gyrus, anterior division",252.522495043465,0.0,252.522495043465,252.522495043465
Normalized,"Supramarginal Gyrus, posterior division",237.96183946092918,0.0,237.96183946092918,237.96183946092918
Normalized,Angular Gyrus,305.2295553244847,0.0,305.2295553244847,305.2295553244847
Normalized,"Lateral Occipital Cortex, superior division",277.6176165803109,0.0,277.6176165803109,277.6176165803109
Normalized,"Lateral Occipital Cortex, inferior division",137.97678381256657,0.0,137.97678381256657,137.97678381256657
Normalized,Intracalcarine Cortex,182.67364381650097,0.0,182.67364381650097,182.67364381650097
Normalized,Frontal Medial Cortex,166.29886636894537,0.0,166.29886636894537,166.29886636894537
Normalized,Juxtapositional Lobule Cortex (formerly Supplementary Motor Cortex),192.33629893238435,0.0,192.33629893238435,192.33629893238435
Normalized,Subcallosal Cortex,198.19224376731302,0.0,198.19224376731302,198.19224376731302
Normalized,Paracingulate Gyrus,246.9394135602627,0.0,246.9394135602627,246.9394135602627
Normalized,"Cingulate Gyrus, anterior division",220.17729083665338,0.0,220.17729083665338,220.17729083665338
Normalized,"Cingulate Gyrus, posterior division",187.99271667880552,0.0,187.99271667880552,187.99271667880552
Normalized,Precuneous Cortex,181.6070385409988,0.0,181.6070385409988,181.6070385409988
Normalized,Cuneal Cortex,181.32609569762766,0.0,181.32609569762766,181.32609569762766
Normalized,Frontal Orbital Cortex,227.1927570093458,0.0,227.1927570093458,227.1927570093458
Normalized,"Parahippocampal Gyrus, anterior division",249.6885154949671,0.0,249.6885154949671,249.6885154949671
Normalized,"Parahippocampal Gyrus, posterior division",214.99418228829992,0.0,214.99418228829992,214.99418228829992
Normalized,Lingual Gyrus,120.05564559697461,0.0,120.05564559697461,120.05564559697461
Normalized,"Temporal Fusiform Cortex, anterior division",254.20686932491117,0.0,254.20686932491117,254.20686932491117
Normalized,"Temporal Fusiform Cortex, posterior division",191.24140241179097,0.0,191.24140241179097,191.24140241179097
Normalized,Temporal Occipital Fusiform Cortex,212.20318506315212,0.0,212.20318506315212,212.20318506315212
