Type,ROI,mean,std,max,min
Normalized,Background,53.18049240112305,0.0,53.18049240112305,53.18049240112305
Normalized,Frontal Pole,92.60382843017578,0.0,92.60382843017578,92.60382843017578
Normalized,Insular Cortex,43.82199478149414,0.0,43.82199478149414,43.82199478149414
Normalized,Superior Frontal Gyrus,51.92972183227539,0.0,51.92972183227539,51.92972183227539
Normalized,Middle Frontal Gyrus,94.76045989990234,0.0,94.76045989990234,94.76045989990234
Normalized,"Inferior Frontal Gyrus, pars triangularis",66.84888458251953,0.0,66.84888458251953,66.84888458251953
Normalized,"Inferior Frontal Gyrus, pars opercularis",63.63716506958008,0.0,63.63716506958008,63.63716506958008
Normalized,Precentral Gyrus,66.67216491699219,0.0,66.67216491699219,66.67216491699219
Normalized,Temporal Pole,66.01341247558594,0.0,66.01341247558594,66.01341247558594
Normalized,"Superior Temporal Gyrus, anterior division",80.85235595703125,0.0,80.85235595703125,80.85235595703125
Normalized,"Superior Temporal Gyrus, posterior division",45.19279479980469,0.0,45.19279479980469,45.19279479980469
Normalized,"Middle Temporal Gyrus, anterior division",85.73436737060547,0.0,85.73436737060547,85.73436737060547
Normalized,"Middle Temporal Gyrus, posterior division",58.31794357299805,0.0,58.31794357299805,58.31794357299805
Normalized,"Middle Temporal Gyrus, temporooccipital part",29.24765396118164,0.0,29.24765396118164,29.24765396118164
Normalized,"Inferior Temporal Gyrus, anterior division",50.21454620361328,0.0,50.21454620361328,50.21454620361328
Normalized,"Inferior Temporal Gyrus, posterior division",62.520957946777344,0.0,62.520957946777344,62.520957946777344
Normalized,"Inferior Temporal Gyrus, temporooccipital part",69.46953582763672,0.0,69.46953582763672,69.46953582763672
Normalized,Postcentral Gyrus,73.93640899658203,0.0,73.93640899658203,73.93640899658203
Normalized,Superior Parietal Lobule,78.25563049316406,0.0,78.25563049316406,78.25563049316406
Normalized,"Supramarginal Gyrus, anterior division",65.80046081542969,0.0,65.80046081542969,65.80046081542969
Normalized,"Supramarginal Gyrus, posterior division",75.18026733398438,0.0,75.18026733398438,75.18026733398438
Normalized,Angular Gyrus,84.79241180419922,0.0,84.79241180419922,84.79241180419922
Normalized,"Lateral Occipital Cortex, superior division",104.8527603149414,0.0,104.8527603149414,104.8527603149414
Normalized,"Lateral Occipital Cortex, inferior division",20.234254837036133,0.0,20.234254837036133,20.234254837036133
Normalized,Intracalcarine Cortex,63.16863250732422,0.0,63.16863250732422,63.16863250732422
Normalized,Frontal Medial Cortex,35.78085708618164,0.0,35.78085708618164,35.78085708618164
Normalized,Juxtapositional Lobule Cortex (formerly Supplementary Motor Cortex),77.34151458740234,0.0,77.34151458740234,77.34151458740234
Normalized,Subcallosal Cortex,83.74964141845703,0.0,83.74964141845703,83.74964141845703
Normalized,Paracingulate Gyrus,90.27996826171875,0.0,90.27996826171875,90.27996826171875
Normalized,"Cingulate Gyrus, anterior division",70.42914581298828,0.0,70.42914581298828,70.42914581298828
Normalized,"Cingulate Gyrus, posterior division",50.74942398071289,0.0,50.74942398071289,50.74942398071289
Normalized,Precuneous Cortex,80.63300323486328,0.0,80.63300323486328,80.63300323486328
Normalized,Cuneal Cortex,53.907676696777344,0.0,53.907676696777344,53.907676696777344
Normalized,Frontal Orbital Cortex,100.54019165039062,0.0,100.54019165039062,100.54019165039062
Normalized,"Parahippocampal Gyrus, anterior division",103.68597412109375,0.0,103.68597412109375,103.68597412109375
Normalized,"Parahippocampal Gyrus, posterior division",46.392578125,0.0,46.392578125,46.392578125
Normalized,Lingual Gyrus,47.34531021118164,0.0,47.34531021118164,47.34531021118164
Normalized,"Temporal Fusiform Cortex, anterior division",81.27786254882812,0.0,81.27786254882812,81.27786254882812
Normalized,"Temporal Fusiform Cortex, posterior division",60.68827819824219,0.0,60.68827819824219,60.68827819824219
Normalized,Temporal Occipital Fusiform Cortex,65.71021270751953,0.0,65.71021270751953,65.71021270751953
Normalized,Occipital Fusiform Gyrus,65.21449279785156,0.0,65.21449279785156,65.21449279785156
Normalized,Frontal Opercular Cortex,79.44339752197266,0.0,79.44339752197266,79.44339752197266
Normalized,Central Opercular Cortex,79.5573501586914,0.0,79.5573501586914,79.5573501586914
Normalized,Parietal Opercular Cortex,97.30693054199219,0.0,97.30693054199219,97.30693054199219
Normalized,Planum Polare,76.46257781982422,0.0,76.46257781982422,76.46257781982422
Normalized,Heschl's Gyrus (includes H1 and H2),82.8973388671875,0.0,82.8973388671875,82.8973388671875
Normalized,Planum Temporale,63.723262786865234,0.0,63.723262786865234,63.723262786865234
Smoothed,Background,36.93919855311095,0.0,36.93919855311095,36.93919855311095
Smoothed,Frontal Pole,63.93391606127233,0.0,63.93391606127233,63.93391606127233
Smoothed,Insular Cortex,29.790507572844696,0.0,29.790507572844696,29.790507572844696
Smoothed,Superior Frontal Gyrus,36.24341550180952,0.0,36.24341550180952,36.24341550180952
Smoothed,Middle Frontal Gyrus,66.29648219069134,0.0,66.29648219069134,66.29648219069134
Smoothed,"Inferior Frontal Gyrus, pars triangularis",46.20337534633478,0.0,46.20337534633478,46.20337534633478
Smoothed,"Inferior Frontal Gyrus, pars opercularis",44.25533650337218,0.0,44.25533650337218,44.25533650337218
Smoothed,Precentral Gyrus,46.0463437420455,0.0,46.0463437420455,46.0463437420455
Smoothed,Temporal Pole,45.41069202448817,0.0,45.41069202448817,45.41069202448817
Smoothed,"Superior Temporal Gyrus, anterior division",56.072519795502906,0.0,56.072519795502906,56.072519795502906
Smoothed,"Superior Temporal Gyrus, posterior division",31.15781704128305,0.0,31.15781704128305,31.15781704128305
Smoothed,"Middle Temporal Gyrus, anterior division",59.806861421361454,0.0,59.806861421361454,59.806861421361454
Smoothed,"Middle Temporal Gyrus, posterior division",40.44650407290516,0.0,40.44650407290516,40.44650407290516
Smoothed,"Middle Temporal Gyrus, temporooccipital part",20.023310844984948,0.0,20.023310844984948,20.023310844984948
Smoothed,"Inferior Temporal Gyrus, anterior division",34.50237051307215,0.0,34.50237051307215,34.50237051307215
Smoothed,"Inferior Temporal Gyrus, posterior division",43.4610144279804,0.0,43.4610144279804,43.4610144279804
Smoothed,"Inferior Temporal Gyrus, temporooccipital part",48.371140083659014,0.0,48.371140083659014,48.371140083659014
Smoothed,Postcentral Gyrus,51.591179895037875,0.0,51.591179895037875,51.591179895037875
Smoothed,Superior Parietal Lobule,54.72794243014881,0.0,54.72794243014881,54.72794243014881
Smoothed,"Supramarginal Gyrus, anterior division",45.64293234755598,0.0,45.64293234755598,45.64293234755598
Smoothed,"Supramarginal Gyrus, posterior division",52.35504379625113,0.0,52.35504379625113,52.35504379625113
Smoothed,Angular Gyrus,59.14138394626407,0.0,59.14138394626407,59.14138394626407
Smoothed,"Lateral Occipital Cortex, superior division",72.49660409735688,0.0,72.49660409735688,72.49660409735688
Smoothed,"Lateral Occipital Cortex, inferior division",13.681814147212847,0.0,13.681814147212847,13.681814147212847
Smoothed,Intracalcarine Cortex,43.460337307812686,0.0,43.460337307812686,43.460337307812686
Smoothed,Frontal Medial Cortex,24.213133169894054,0.0,24.213133169894054,24.213133169894054
Smoothed,Juxtapositional Lobule Cortex (formerly Supplementary Motor Cortex),53.44813830377094,0.0,53.44813830377094,53.44813830377094
Smoothed,Subcallosal Cortex,57.419734486780385,0.0,57.419734486780385,57.419734486780385
Smoothed,Paracingulate Gyrus,61.9791489140912,0.0,61.9791489140912,61.9791489140912
Smoothed,"Cingulate Gyrus, anterior division",48.39844834975442,0.0,48.39844834975442,48.39844834975442
Smoothed,"Cingulate Gyrus, posterior division",34.70288370148647,0.0,34.70288370148647,34.70288370148647
Smoothed,Precuneous Cortex,55.67568800295421,0.0,55.67568800295421,55.67568800295421
Smoothed,Cuneal Cortex,36.72293759489393,0.0,36.72293759489393,36.72293759489393
Smoothed,Frontal Orbital Cortex,69.27285404159979,0.0,69.27285404159979,69.27285404159979
Smoothed,"Parahippocampal Gyrus, anterior division",71.53897637077506,0.0,71.53897637077506,71.53897637077506
Smoothed,"Parahippocampal Gyrus, posterior division",31.999840452948522,0.0,31.999840452948522,31.999840452948522
Smoothed,Lingual Gyrus,32.26535659188525,0.0,32.26535659188525,32.26535659188525
Smoothed,"Temporal Fusiform Cortex, anterior division",55.92909191991059,0.0,55.92909191991059,55.92909191991059
Smoothed,"Temporal Fusiform Cortex, posterior division",41.56647546031401,0.0,41.56647546031401,41.56647546031401
Smoothed,Temporal Occipital Fusiform Cortex,45.055836142984276,0.0,45.055836142984276,45.055836142984276
Smoothed,Occipital Fusiform Gyrus,44.750854199869835,0.0,44.750854199869835,44.750854199869835
Smoothed,Frontal Opercular Cortex,54.67054912525878,0.0,54.67054912525878,54.67054912525878
Smoothed,Central Opercular Cortex,54.788938919313296,0.0,54.788938919313296,54.788938919313296
Smoothed,Parietal Opercular Cortex,67.0715631266684,0.0,67.0715631266684,67.0715631266684
Smoothed,Planum Polare,52.713281075282744,0.0,52.713281075282744,52.713281075282744
Smoothed,Heschl's Gyrus (includes H1 and H2),57.40286840296675,0.0,57.40286840296675,57.40286840296675
Smoothed,Planum Temporale,44.21999123400177,0.0,44.21999123400177,44.21999123400177
