GeneID,NumberOfLiterature,PubMedIDs,GeneSymbol,Alias,Xref,Chromosome,Cytoband,FullName,GeneType,Description
7249,3,"15624760,28409891,15072102,",TSC2,LAM|PPP1R160|TSC4,MIM:191092|HGNC:HGNC:12363|Ensembl:ENSG00000103197|Vega:OTTHUMG00000128745,16,16p13.3,TSC complex subunit 2,protein-coding,"tuberin|protein phosphatase 1, regulatory subunit 160|tuberous sclerosis 2 protein"
5979,2,"22031517,20205103,",RET,CDHF12|CDHR16|HSCR1|MEN2A|MEN2B|MTC1|PTC|RET-ELE1|RET51,MIM:164761|HGNC:HGNC:9967|Ensembl:ENSG00000165731|Vega:OTTHUMG00000018024,10,10q11.21,ret proto-oncogene,protein-coding,"proto-oncogene tyrosine-protein kinase receptor Ret|CUX1/RET fusion|RET receptor tyrosine kinase|RET transforming sequence|cadherin family member 12|cadherin-related family member 16|hydroxyaryl-protein kinase|proto-oncogene c-Ret|rearranged during transfection|receptor tyrosine kinase|ret proto-oncogene (multiple endocrine neoplasia and medullary thyroid carcinoma 1, Hirschsprung disease)"
3596,1,"26516307,",IL13,IL-13|P600,MIM:147683|HGNC:HGNC:5973|Ensembl:ENSG00000169194|Vega:OTTHUMG00000059723,5,5q31.1,interleukin 13,protein-coding,interleukin-13
3074,1,"16710745,",HEXB,ENC-1AS|HEL-248|HEL-S-111,MIM:606873|HGNC:HGNC:4879|Ensembl:ENSG00000049860|Vega:OTTHUMG00000102057,5,5q13.3,hexosaminidase subunit beta,protein-coding,beta-hexosaminidase subunit beta|HCC-7|N-acetyl-beta-glucosaminidase subunit beta|beta-N-acetylhexosaminidase subunit beta|beta-hexosaminidase beta-subunit|cervical cancer proto-oncogene 7 protein|epididymis luminal protein 248|epididymis secretory protein Li 111|hexosaminidase B (beta polypeptide)|hexosaminidase subunit B
4869,5,"20533335,17922009,17488663,17690253,12555065,",NPM1,B23|NPM,MIM:164040|HGNC:HGNC:7910|Ensembl:ENSG00000181163|Vega:OTTHUMG00000130465,5,5q35.1,nucleophosmin 1,protein-coding,"nucleophosmin|nucleolar protein NO38|nucleophosmin (nucleolar phosphoprotein B23, numatrin)|nucleophosmin/nucleoplasmin family, member 1|testicular tissue protein Li 128"
8350,6,"29809131,27694758,27135271,29727696,28183840,26517431,",HIST1H3A,H3/A|H3FA,MIM:602810|HGNC:HGNC:4766|Ensembl:ENSG00000275714|Vega:OTTHUMG00000014418,6,6p22.2,histone cluster 1 H3 family member a,protein-coding,"histone H3.1|H3 histone family, member A|histone 1, H3a|histone H3/a|histone cluster 1, H3a"
1050,1,"27591677,",CEBPA,C/EBP-alpha|CEBP,MIM:116897|HGNC:HGNC:1833|Ensembl:ENSG00000245848|Vega:OTTHUMG00000161461,19,19q13.11,CCAAT/enhancer binding protein alpha,protein-coding,"CCAAT/enhancer-binding protein alpha|CCAAT/enhancer binding protein (C/EBP), alpha"
6361,1,"18395252,",CCL17,A-152E5.3|ABCD-2|SCYA17|TARC,MIM:601520|HGNC:HGNC:10615|Ensembl:ENSG00000102970|Vega:OTTHUMG00000133468,16,16q21,C-C motif chemokine ligand 17,protein-coding,"C-C motif chemokine 17|CC chemokine TARC|T cell-directed CC chemokine|chemokine (C-C motif) ligand 17|small inducible cytokine subfamily A (Cys-Cys), member 17|small-inducible cytokine A17|thymus and activation-regulated chemokine"
63827,1,"28695888,",BCAN,BEHAB|CSPG7,MIM:600347|HGNC:HGNC:23059|Ensembl:ENSG00000132692|Vega:OTTHUMG00000033322,1,1q23.1,brevican,protein-coding,brevican core protein|brain-enriched hyaluronan-binding protein|chondroitin sulfate proteoglycan 7|chondroitin sulfate proteoglycan BEHAB
1387,2,"29551561,24115570,",CREBBP,CBP|KAT3A|RSTS|RSTS1,MIM:600140|HGNC:HGNC:2348|Ensembl:ENSG00000005339|Vega:OTTHUMG00000129431,16,16p13.3,CREB binding protein,protein-coding,CREB-binding protein
